"PeakFreq","PeakLev","RMS","Filename","Distance","Calibration","FreqMin","FreqMax"
239,89.7930017657937,112.118457074292,"805568538.230627011530_sel01_271.7728913.wav",271.7728913,-172.4,20,5000
124,99.2600087508494,118.884185035179,"805568538.230627011530_sel01_293.8717712.wav",293.8717712,-172.4,20,5000
126,94.4812533768585,114.791436853722,"805568538.230627011530_sel01_457.wav",457,-172.4,20,5000
187,92.1754061879857,114.268478511564,"805568538.230627011530_sel01_513.wav",513,-172.4,20,5000
180,84.4573256683243,108.631687275605,"805568538.230627011530_sel01_938.wav",938,-172.4,20,5000
244,88.378863420016,108.877457940908,"805568538.230627011530_sel01_993.wav",993,-172.4,20,5000
225,101.524004027314,120.931768530103,"805568538.230627011530_sel02_256.4070197.wav",256.4070197,-172.4,20,5000
124,100.172848012727,118.119018970853,"805568538.230627011530_sel02_297.8027382.wav",297.8027382,-172.4,20,5000
257,90.3126348404672,112.726494876686,"805568538.230627011530_sel02_503.wav",503,-172.4,20,5000
201,98.852767947024,113.747879619661,"805568538.230627011530_sel02_517.wav",517,-172.4,20,5000
371,90.7661295285583,111.150760563858,"805568538.230627011530_sel02_875.wav",875,-172.4,20,5000
232,87.1409280001339,108.811373585578,"805568538.230627011530_sel02_950.wav",950,-172.4,20,5000
218,103.23725986635,120.95277333695,"805568538.230627011530_sel03_237.7981823.wav",237.7981823,-172.4,20,5000
160,100.99508465212,117.922829106364,"805568538.230627011530_sel03_301.3386842.wav",301.3386842,-172.4,20,5000
250,93.3488981656229,114.036387200067,"805568538.230627011530_sel03_497.wav",497,-172.4,20,5000
142,95.8732860848577,112.484902456007,"805568538.230627011530_sel03_533.wav",533,-172.4,20,5000
358,92.1439104674404,111.638932384949,"805568538.230627011530_sel03_772.wav",772,-172.4,20,5000
228,86.6739636551911,108.088910371887,"805568538.230627011530_sel03_974.wav",974,-172.4,20,5000
265,100.019338815936,119.480897881306,"805568538.230627011530_sel04_239.2468802.wav",239.2468802,-172.4,20,5000
160,100.33859697407,117.709437263063,"805568538.230627011530_sel04_305.3304796.wav",305.3304796,-172.4,20,5000
246,92.5598358866657,113.885623354686,"805568538.230627011530_sel04_479.wav",479,-172.4,20,5000
194,93.4657693522863,112.988184936825,"805568538.230627011530_sel04_552.wav",552,-172.4,20,5000
358,92.6486860634975,112.977162158865,"805568538.230627011530_sel04_658.wav",658,-172.4,20,5000
243,86.4176277730963,108.224267255965,"805568538.230627011530_sel04_988.wav",988,-172.4,20,5000
198,100.791085485378,119.669657793067,"805568538.230627011530_sel05_250.4010616.wav",250.4010616,-172.4,20,5000
127,97.5318266112644,117.422042758941,"805568538.230627011530_sel05_311.4576076.wav",311.4576076,-172.4,20,5000
250,95.1631612258443,114.183982690208,"805568538.230627011530_sel05_486.wav",486,-172.4,20,5000
129,92.6989122602294,113.595101815968,"805568538.230627011530_sel05_550.wav",550,-172.4,20,5000
210,92.4486882768068,112.048238545119,"805568538.230627011530_sel05_578.wav",578,-172.4,20,5000
244,85.9171827393841,108.105148248747,"805568538.230627011530_sel05_979.wav",979,-172.4,20,5000
234,101.307334621209,120.05500920969,"805568538.230627011530_sel06_259.5373354.wav",259.5373354,-172.4,20,5000
324,95.6386329056575,116.60499048033,"805568538.230627011530_sel06_318.1107801.wav",318.1107801,-172.4,20,5000
155,94.8909976830869,115.117336115212,"805568538.230627011530_sel06_450.wav",450,-172.4,20,5000
125,95.4082903597962,113.293396962997,"805568538.230627011530_sel06_495.wav",495,-172.4,20,5000
320,91.1096990348153,111.136359338827,"805568538.230627011530_sel06_616.wav",616,-172.4,20,5000
252,89.051910341413,109.022607588903,"805568538.230627011530_sel06_995.wav",995,-172.4,20,5000
226,101.430760748066,121.094172241366,"805568538.230627011530_sel07_258.7278618.wav",258.7278618,-172.4,20,5000
188,97.7769917347204,118.718761667052,"805568538.230627011530_sel07_326.wav",326,-172.4,20,5000
195,96.5347451868797,115.699057228884,"805568538.230627011530_sel07_331.730096.wav",331.730096,-172.4,20,5000
126,94.8588394358693,113.012813114193,"805568538.230627011530_sel07_493.wav",493,-172.4,20,5000
159,92.1013484262388,111.018402600067,"805568538.230627011530_sel07_640.wav",640,-172.4,20,5000
126,87.9281079021139,108.275408550456,"805568538.230627011530_sel07_999.wav",999,-172.4,20,5000
