Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805830683.190115005940_sel13_S11.wav,190115000000,S11,111.1453008,321,91.51641285,1,1,55,4,0,89,0,0,0.9322033898305084,0,NA,0.3716216216216216,2019-01-15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190115005940_sel04_S4.wav,190115000000,S4,113.0109705,286,90.29392907,1,1,54,9,0,84,0,0,0.8571428571428571,0,NA,0.3673469387755102,2019-01-15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181222005940_sel02_S1.wav,181222000000,S1,112.8352819,1144,93.2322532,1,1,54,0,2,93,0,0,1,0.021052631578947368,NA,0.37583892617449666,2018-12-22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181227005940_sel01_S1.wav,181227000000,S1,112.9995578,69,98.43544792,1,1,38,0,21,66,0,27,1,0.2413793103448276,0,0.472,2018-12-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181227005940_sel03_S6.wav,181227000000,S6,111.1087153,130,95.96039295,1,1,46,0,12,79,0,14,1,0.13186813186813187,0,0.4233576642335766,2018-12-27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181228005940_sel02_S2.wav,181228000000,S2,119.9024793,636,95.96010344,1,1,46,0,12,79,0,14,1,0.13186813186813187,0,0.4233576642335766,2018-12-28,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181231005940_sel01_S3.wav,181231000000,S3,112.2569556,1133,89.50313453,1,1,53,13,0,80,0,0,0.803030303030303,0,NA,0.363013698630137,2018-12-31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190103005940_sel01_S2.wav,190103000000,S2,115.812922,132,92.16065742,1,1,55,2,0,91,0,0,0.9649122807017544,0,NA,0.3716216216216216,2019-01-03,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190103005940_sel02_S6.wav,190103000000,S6,113.2703184,89,100.3393182,1,1,33,0,26,56,0,37,1,0.3170731707317073,0,0.5130434782608696,2019-01-03,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190104005940_sel01_S2.wav,190104000000,S2,113.8491374,109,89.02389384,1,1,52,15,0,78,0,0,0.7761194029850746,0,NA,0.3586206896551724,2019-01-04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190106005940_sel01_S4.wav,190106000000,S4,115.6900985,538,94.96529777,1,1,48,0,9,85,0,8,1,0.09574468085106383,0,0.4014084507042254,2019-01-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190106005940_sel02_S5.wav,190106000000,S5,112.1870026,134,89.50337019,1,1,53,13,0,80,0,0,0.803030303030303,0,NA,0.363013698630137,2019-01-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190107005940_sel01_S1.wav,190107000000,S1,113.4040328,312,88.51743691,1,1,52,17,0,76,0,0,0.7536231884057971,0,NA,0.3586206896551724,2019-01-07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190107005940_sel02_S4.wav,190107000000,S4,112.0306336,261,96.48729499,1,1,44,0,14,76,0,17,1,0.15555555555555556,0,0.43283582089552236,2019-01-07,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190108005940_sel02_S13.wav,190108000000,S13,112.3320152,124,92.84462204,1,1,55,0,1,93,0,0,1,0.010638297872340425,NA,0.37583892617449666,2019-01-08,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190108005940_sel03_S14.wav,190108000000,S14,115.1561451,164,97.60263371,1,1,40,0,18,70,0,23,1,0.20454545454545456,0,0.453125,2019-01-08,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190108005940_sel05_S15.wav,190108000000,S15,115.6924937,446,96.79284118,1,1,43,0,15,75,0,18,1,0.16666666666666666,0,0.43609022556390975,2019-01-08,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190108005940_sel07_S16.wav,190108000000,S16,118.0119206,32,100.5218962,1,1,32,0,27,55,0,38,1,0.32926829268292684,0,0.5175438596491229,2019-01-08,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190108005940_sel01_S4.wav,190108000000,S4,115.5701236,291,94.57990516,1,1,50,0,7,87,0,6,1,0.07446808510638298,0,0.3958333333333333,2019-01-08,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190109005940_sel01_S6.wav,190109000000,S6,115.1837607,521,91.10672505,1,1,54,6,0,87,0,0,0.9,0,NA,0.3673469387755102,2019-01-09,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190112005940_sel05_S10.wav,190112000000,S10,112.5470543,82,96.32623029,1,1,44,0,14,77,0,16,1,0.15384615384615385,0,0.42962962962962964,2019-01-12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190112005940_sel01_S2.wav,190112000000,S2,114.1984545,196,92.34916695,1,1,55,1,0,92,0,0,0.9821428571428571,0,NA,0.3716216216216216,2019-01-12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190112005940_sel02_S6.wav,190112000000,S6,111.8171135,67,94.28360328,1,1,51,0,6,88,0,5,1,0.06382978723404255,0,0.3931034482758621,2019-01-12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190113005940_sel03_S11.wav,190113000000,S11,121.1488976,53,116.7927521,1,1,6,0,40,0,15,25,1,1,0.375,1,2019-01-13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190113005940_sel04_S12.wav,190113000000,S12,116.4919979,71,110.0101643,1,1,14,0,47,11,0,47,1,0.8103448275862069,0,0.8472222222222222,2019-01-13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190113005940_sel01_S4.wav,190113000000,S4,112.2325659,74,94.90053089,1,1,48,0,9,85,0,8,1,0.09574468085106383,0,0.4014084507042254,2019-01-13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190114005940_sel01_S1.wav,190114000000,S1,114.4739589,200,96.21579738,1,1,45,0,13,78,0,15,1,0.14285714285714285,0,0.4264705882352941,2019-01-14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.190114005940_sel03_S4.wav,190114000000,S4,114.3495305,201,100.8705168,1,1,31,0,28,53,0,40,1,0.345679012345679,0,0.5267857142857143,2019-01-14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181213005940_sel02_S1.wav,181213000000,S1,113.2029808,154,98.44276175,1,1,38,0,21,66,0,27,1,0.2413793103448276,0,0.472,2018-12-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805830683.181226005940_sel04_S10.wav,181226000000,S10,111.9876605,145,89.73758452,1,1,53,12,0,81,0,0,0.8153846153846154,0,NA,0.363013698630137,2018-12-26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
